"Titulo","Genero","Tipo","Minutos","Sesiones","Episodios_distintos"
"Stranger Things","Drama","serie","1794.3","39","25"
"Squid Game","Action","serie","788.2","22","16"
"Black Mirror","Crime","serie","783.6","24","16"
"Something Very Bad Is Going to Happen","Drama","serie","697.7","18","8"
"The Diplomat","Drama","serie","666.1","25","15"
"The Residence","Comedy","serie","654","18","8"
"In the Mud","Crime","serie","620.7","20","16"
"Breathless","Drama","serie","611","17","11"
"Love Is Blind: Argentina","Reality-TV","serie","599.3","18","11"
"PULSE","Drama","serie","544.3","17","9"
"Running Point","Comedy","serie","540.5","24","20"
"Bridgerton","Drama","serie","526","12","8"
"Zero Day","Drama","serie","511.4","16","6"
"Envious","Comedy","serie","492.9","24","17"
"Nobody Wants This","Comedy","serie","489","26","20"
