Genero,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,Total
Action,609.8,660.6,0,0,0,285.7,84.9,0,0,0,0,0,0,333.2,34.6,0,0,0,229.0,2237.8
Adventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,4.9
Biography,0,429.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.9
Comedy,138.7,339.3,844.9,258.0,0,0,0,1.4,9.0,0,45.2,464.9,573.5,0,57.2,258.7,255.9,0,0,3246.7
Crime,354.0,0,520.6,938.9,44.7,0.0,316.0,312.2,0,316.7,0,0,594.2,318.3,14.8,94.7,113.6,0,0,3938.7
Documentary,0,0,0,0,0,0,0,0,93.9,0,0,0,0,0,0,0,94.3,0,0,188.2
Drama,97.3,576.8,130.3,503.8,40.5,0,733.3,0,127.1,664.4,1223.4,1085.1,535.1,248.0,631.0,344.7,129.9,0,278.2,7348.9
Game-Show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.7,149.7
Horror,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.8
Reality-TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2,527.1,599.3
