Genero,Mes,Minutos
Action,2025-01,609.8
Action,2025-02,660.6
Action,2025-03,0
Action,2025-04,0
Action,2025-05,0
Action,2025-06,285.7
Action,2025-07,84.9
Action,2025-08,0
Action,2025-09,0
Action,2025-10,0
Action,2025-11,0
Action,2025-12,0
Action,2026-01,0
Action,2026-02,333.2
Action,2026-03,34.6
Action,2026-04,0
Action,2026-05,0
Action,2026-06,0
Action,2026-07,229.0
Adventure,2025-01,0
Adventure,2025-02,0
Adventure,2025-03,0
Adventure,2025-04,0
Adventure,2025-05,0
Adventure,2025-06,0
Adventure,2025-07,0
Adventure,2025-08,0
Adventure,2025-09,0
Adventure,2025-10,0
Adventure,2025-11,0
Adventure,2025-12,0
Adventure,2026-01,0
Adventure,2026-02,0
Adventure,2026-03,0
Adventure,2026-04,0
Adventure,2026-05,4.9
Adventure,2026-06,0
Adventure,2026-07,0
Biography,2025-01,0
Biography,2025-02,429.9
Biography,2025-03,0
Biography,2025-04,0
Biography,2025-05,0
Biography,2025-06,0
Biography,2025-07,0
Biography,2025-08,0
Biography,2025-09,0
Biography,2025-10,0
Biography,2025-11,0
Biography,2025-12,0
Biography,2026-01,0
Biography,2026-02,0
Biography,2026-03,0
Biography,2026-04,0
Biography,2026-05,0
Biography,2026-06,0
Biography,2026-07,0
Comedy,2025-01,138.7
Comedy,2025-02,339.3
Comedy,2025-03,844.9
Comedy,2025-04,258.0
Comedy,2025-05,0
Comedy,2025-06,0
Comedy,2025-07,0
Comedy,2025-08,1.4
Comedy,2025-09,9.0
Comedy,2025-10,0
Comedy,2025-11,45.2
Comedy,2025-12,464.9
Comedy,2026-01,573.5
Comedy,2026-02,0
Comedy,2026-03,57.2
Comedy,2026-04,258.7
Comedy,2026-05,255.9
Comedy,2026-06,0
Comedy,2026-07,0
Crime,2025-01,354.0
Crime,2025-02,0
Crime,2025-03,520.6
Crime,2025-04,938.9
Crime,2025-05,44.7
Crime,2025-06,0.0
Crime,2025-07,316.0
Crime,2025-08,312.2
Crime,2025-09,0
Crime,2025-10,316.7
Crime,2025-11,0
Crime,2025-12,0
Crime,2026-01,594.2
Crime,2026-02,318.3
Crime,2026-03,14.8
Crime,2026-04,94.7
Crime,2026-05,113.6
Crime,2026-06,0
Crime,2026-07,0
Documentary,2025-01,0
Documentary,2025-02,0
Documentary,2025-03,0
Documentary,2025-04,0
Documentary,2025-05,0
Documentary,2025-06,0
Documentary,2025-07,0
Documentary,2025-08,0
Documentary,2025-09,93.9
Documentary,2025-10,0
Documentary,2025-11,0
Documentary,2025-12,0
Documentary,2026-01,0
Documentary,2026-02,0
Documentary,2026-03,0
Documentary,2026-04,0
Documentary,2026-05,94.3
Documentary,2026-06,0
Documentary,2026-07,0
Drama,2025-01,97.3
Drama,2025-02,576.8
Drama,2025-03,130.3
Drama,2025-04,503.8
Drama,2025-05,40.5
Drama,2025-06,0
Drama,2025-07,733.3
Drama,2025-08,0
Drama,2025-09,127.1
Drama,2025-10,664.4
Drama,2025-11,1223.4
Drama,2025-12,1085.1
Drama,2026-01,535.1
Drama,2026-02,248.0
Drama,2026-03,631.0
Drama,2026-04,344.7
Drama,2026-05,129.9
Drama,2026-06,0
Drama,2026-07,278.2
Game-Show,2025-01,0
Game-Show,2025-02,0
Game-Show,2025-03,0
Game-Show,2025-04,0
Game-Show,2025-05,0
Game-Show,2025-06,0
Game-Show,2025-07,0
Game-Show,2025-08,0
Game-Show,2025-09,0
Game-Show,2025-10,0
Game-Show,2025-11,0
Game-Show,2025-12,0
Game-Show,2026-01,0
Game-Show,2026-02,0
Game-Show,2026-03,0
Game-Show,2026-04,0
Game-Show,2026-05,0
Game-Show,2026-06,0
Game-Show,2026-07,149.7
Horror,2025-01,51.8
Horror,2025-02,0
Horror,2025-03,0
Horror,2025-04,0
Horror,2025-05,0
Horror,2025-06,0
Horror,2025-07,0
Horror,2025-08,0
Horror,2025-09,0
Horror,2025-10,0
Horror,2025-11,0
Horror,2025-12,0
Horror,2026-01,0
Horror,2026-02,0
Horror,2026-03,0
Horror,2026-04,0
Horror,2026-05,0
Horror,2026-06,0
Horror,2026-07,0
Reality-TV,2025-01,0
Reality-TV,2025-02,0
Reality-TV,2025-03,0
Reality-TV,2025-04,0
Reality-TV,2025-05,0
Reality-TV,2025-06,0
Reality-TV,2025-07,0
Reality-TV,2025-08,0
Reality-TV,2025-09,0
Reality-TV,2025-10,0
Reality-TV,2025-11,0
Reality-TV,2025-12,0
Reality-TV,2026-01,0
Reality-TV,2026-02,0
Reality-TV,2026-03,0
Reality-TV,2026-04,0
Reality-TV,2026-05,0
Reality-TV,2026-06,72.2
Reality-TV,2026-07,527.1
