"Hora","Lunes","Martes","Miercoles","Jueves","Viernes","Sabado","Domingo"
"00:00","6","3","2","3","7","8","9"
"01:00","5","1","1","0","2","6","4"
"02:00","7","1","1","0","3","3","8"
"03:00","4","1","0","0","1","3","4"
"04:00","2","0","0","0","1","0","3"
"05:00","0","0","0","0","0","0","4"
"06:00","0","0","0","0","0","0","3"
"07:00","0","0","0","0","0","0","2"
"08:00","0","0","0","0","0","0","1"
"09:00","1","0","0","1","1","0","1"
"10:00","1","0","0","2","0","0","1"
"11:00","3","0","0","2","0","6","0"
"12:00","4","0","2","0","0","2","3"
"13:00","2","1","3","1","2","4","4"
"14:00","4","1","0","2","4","7","1"
"15:00","3","0","1","0","3","10","5"
"16:00","1","1","0","0","0","10","2"
"17:00","3","0","6","0","4","10","6"
"18:00","5","0","2","0","5","7","7"
"19:00","10","2","4","1","8","9","3"
"20:00","4","3","9","6","6","11","5"
"21:00","8","6","1","3","8","15","14"
"22:00","8","6","6","14","10","13","9"
"23:00","7","4","2","15","16","13","5"
