Fecha,Hora,Fecha_Hora,Titulo_completo,Titulo_base,Tipo,Temporada,Episodio_titulo,Episodio_num,Minutos_vistos,Dispositivo,Genero,Actor_1,Actor_2,Rotten_Tomatoes
2025-01-03,22:24:56,2025-01-03 22:24:56,The Conference,The Conference,pelicula,,,,94.9,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Katia Winter,Adam Lundgren,72
2025-01-04,21:59:34,2025-01-04 21:59:34,"Squid Game: Season 1: Red Light, Green Light (Episode 1)",Squid Game,serie,1,"Red Light, Green Light",1,32.1,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-04,22:51:05,2025-01-04 22:51:05,"Squid Game: Season 1: Red Light, Green Light (Episode 1)",Squid Game,serie,1,"Red Light, Green Light",1,23.9,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-04,23:15:22,2025-01-04 23:15:22,Squid Game: Season 1: Hell (Episode 2),Squid Game,serie,1,Hell,2,58.0,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-05,00:14:26,2025-01-05 00:14:26,Squid Game: Season 1: The Man with the Umbrella (Episode 3),Squid Game,serie,1,The Man with the Umbrella,3,49.9,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-05,21:41:03,2025-01-05 21:41:03,Squid Game: Season 1: Stick to the Team (Episode 4),Squid Game,serie,1,Stick to the Team,4,51.0,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-05,22:32:11,2025-01-05 22:32:11,Squid Game: Season 1: A Fair World (Episode 5),Squid Game,serie,1,A Fair World,5,47.5,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-06,21:49:10,2025-01-06 21:49:10,Squid Game: Season 1: Gganbu (Episode 6),Squid Game,serie,1,Gganbu,6,57.4,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-06,22:46:37,2025-01-06 22:46:37,Squid Game: Season 1: VIPS (Episode 7),Squid Game,serie,1,VIPS,7,53.6,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-06,23:40:14,2025-01-06 23:40:14,Squid Game: Season 1: Front Man (Episode 8),Squid Game,serie,1,Front Man,8,28.0,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-07,00:08:18,2025-01-07 00:08:18,Squid Game: Season 1: One Lucky Day (Episode 9),Squid Game,serie,1,One Lucky Day,9,52.4,Amazon FIRETVSTICK2023 Set Top Box,Action,Lee Jung-jae,Wi Ha-joon,
2025-01-09,22:09:05,2025-01-09 22:09:05,The Office (U.S.): Season 1: Basketball (Episode 5),The Office (U.S.),serie,1,Basketball,5,3.0,Amazon FIRETVSTICK2023 Set Top Box,Comedy,Steve Carell,Jenna Fischer,
2025-01-09,22:13:38,2025-01-09 22:13:38,The Platform 2,The Platform 2,pelicula,,,,0.5,Amazon FIRETVSTICK2023 Set Top Box,Horror,Milena Smit,Hovik Keuchkerian,36
2025-01-09,22:14:57,2025-01-09 22:14:57,The Platform,The Platform,pelicula,,,,51.3,Amazon FIRETVSTICK2023 Set Top Box,Horror,Ivan Massagué,Zorion Eguileor,81
2025-01-10,22:02:19,2025-01-10 22:02:19,The Last Night at Tremore Beach: Limited Series: Don't Leave the House (Episode 1),The Last Night at Tremore Beach,serie,Limited Series,Don't Leave the House,1,57.8,Amazon FIRETVSTICK2023 Set Top Box,Drama,Javier Rey,Ana Polvorosa,
